str_fixture_id,str_outlet,viewership,str_competition_name,str_sport_name,str_fixture_date,ttl_customers,engagement_rate
i00xbrx1b6ak4nqwlslif6y,canada,27334,NFL,American Football,2019-11-10,374403.0,0.07300689364134369
eir5u80we3bon6hcon2r4xjsa,italy,6607,Primera División,Soccer,2019-11-03,1883019.0,0.003508727208806709
5jhtue7tfmuihzck6rom1aoa2,dach,65880,League Cup,Soccer,2019-10-29,2421167.0,0.027210018970190823
2ajnwut36ua88g1xi9ecs78fe,dach,4580,MLB,Baseball,2019-10-14,2443539.0,0.0018743306327421007
app1ujkvc0ymhq8q6wkkgd9pm,dach,7294,Premiership,Rugby Union,2020-03-01,2701845.0,0.0026996367297161756
ckf7z9gza3u3xtgyrnmn4ffpx,spain,39751,FIM MotoGP World Championship,Motorsport,2019-11-19,478457.0,0.08308165624079071
eu1ufu5iny6nwbgxz0017965m,italy,11449,Primera División,Soccer,2020-01-05,1847433.0,0.006197247748632832
85ajln9smhb1zpyak9d5w32ay,japan,6329,B1 League,Basketball,2019-12-08,1755913.0,0.0036043927005495148
4ezwpzgzfjhxb9xat1vdgnvca,japan,6445,Serie A,Soccer,2020-07-19,1879544.0,0.003429023209884951
3z7ubsm8glfe6e37wbiq17lnu,italy,23250,FA Cup,Soccer,2020-01-06,1849541.0,0.012570686456801984
esemou6ynnjrqsrt9qtb6ybu2,italy,50787,Primera División,Soccer,2019-12-22,1875056.0,0.02708559104368083
7yd701ncewi5hszabio9wf04q,dach,100347,FA Cup,Soccer,2020-01-04,2494037.0,0.040234767968558606
36nc3vj84ni15egbjiv27n3vu,japan,56609,J2 League,Soccer,2020-07-19,1879544.0,0.030118475545132223
bx2wds5h4q3lbfotsf6ljtk6i,japan,65260,NPB,Baseball,2020-06-21,1592617.0,0.04097658131239337
5rkl6ke0fde67xj35n53x7ft7,dach,14261,Ultimate Fighting Championship,Mixed Martial Arts,2020-03-08,2694361.0,0.005292906184434825
f491ptbvq0dbvcuyvycrvlmh9,dach,28159,FIS Ski Jumping World Cup,Ski Jumping,2019-12-22,2557568.0,0.01101006894049347
4rodb4ff2aks0ujga0zln7ofe,dach,36629,NBA,Basketball,2020-07-31,2146751.0,0.017062528444146526
42bsc1twjlj75q6dgim7fnkh6,japan,35107,Serie A,Soccer,2020-02-22,1655406.0,0.0212074862601682
f3ew6j9cd27wph33ete9lahyi,japan,33593,NPB,Baseball,2020-02-22,1655406.0,0.020292906996833407
erm7y47p64c0otihnvbhg32ay,dach,32791,Primera División,Soccer,2019-12-14,2567893.0,0.01276961306409574
bgubuttn0essio7z5cb6r8iga,dach,170863,UEFA Champions League,Soccer,2019-11-05,2409321.0,0.07091749086153319
6xq5wbqib6qgyjd3zdqe5vq0a,dach,13651,Ligue 1,Soccer,2020-02-22,2702278.0,0.005051663818452431
dffbnzk7pu7u9x68q3xgnjq7e,brazil,154281,CONMEBOL Sudamericana,Soccer,2020-02-19,588441.0,0.2621860135510612
2pykr5vguug9wfk8mp2ru6ik5,canada,5863,World Snooker,Snooker,2020-01-12,336571.0,0.017419801468338034
436n5ee5pbjfpf063w9y25kru,japan,34095,Serie A,Soccer,2020-03-08,1692413.0,0.020145791836862516
4ezwpzgzfjhxb9xat1vdgnvca,dach,14452,Serie A,Soccer,2020-07-19,2167120.0,0.006668758536675403
4h0qnz59u051vh5ycw33dtwfe,italy,165618,Serie A,Soccer,2020-07-22,1855652.0,0.08925057068890072
emvurihq34vqbiwzk01mkp20a,italy,74028,Primera División,Soccer,2019-11-23,1853651.0,0.039936320267407406
1t4c1omrdkw4idzpd2dbmoep6,dach,8883,NCAA Division I FBS,American Football,2019-10-26,2427317.0,0.0036595961714106563
ddukv8vnx7w9vmer1lrrfsa5w,dach,16278,Frauen Bundesliga,Soccer,2019-10-25,2430565.0,0.006697208262276467
3vslkxb6fc3dg5881cqmnn0q2,dach,77562,Serie A,Soccer,2020-01-26,2445431.0,0.03171710835431464
enbdpqsw1cu55dae8nfap9hm2,japan,68889,Primera División,Soccer,2019-11-30,1765001.0,0.039030572787210886
6rx5tyq8ktszvlun8l7zhj9gn,dach,14376,KSI v Logan Paul II,Boxing,2019-10-07,2459555.0,0.005844959758980791
613tm272vahrt88cz9f8gwl0q,dach,63998,Ligue 1,Soccer,2019-09-28,2317127.0,0.027619547827978354
c0emx71uwxcop61ya275reoh6,dach,122843,UEFA Europa League,Soccer,2020-03-12,2706001.0,0.04539650946174817
esn2lnixn06cf9zvbg74eukq2,japan,105112,J1 League,Soccer,2019-10-06,1867156.0,0.05629524260426017
89k15zf247ojaxh015wnt7ii2,japan,2396,B1 League,Basketball,2019-12-11,1758960.0,0.0013621685541456315
eegzvnvf5a2bqxmxxwo0wnsyy,italy,9374,Primera División,Soccer,2019-10-20,2000474.0,0.004685889444201724
4ilku4ut596biciph693j3pey,italy,268402,Serie A,Soccer,2020-07-28,1833434.0,0.14639305259965726
3dp49a51o9wlern1mukpq699m,dach,45762,Serie A,Soccer,2019-10-19,2409419.0,0.01899296054359993
df1dumj2mu1o6tkggojhz22y2,brazil,133950,CONMEBOL Sudamericana,Soccer,2020-02-21,858044.0,0.15611087543296148
7c1ssc9yfynqc5lx9v4pv5pbe,japan,46990,Premier League,Soccer,2019-11-30,1765001.0,0.02662321437778222
cf6e95zzffxutlinuzz80erfu,canada,27603,NFL,American Football,2019-10-06,312598.0,0.08830190852148766
76nuxttlv7lxg9d9trwr2tvfu,japan,27548,Premier League,Soccer,2019-11-09,1806479.0,0.01524955452014665
77ulg961essaoljbk6i3avxpm,japan,43099,Premier League,Soccer,2019-11-09,1806479.0,0.023858013295477
bcl3tab05iercl4brhmlsdvu2,dach,17195,MLB,Baseball,2019-10-12,2441812.0,0.007041901669743617
4t1bstscc7g4dl9y9a7u09anv,dach,22129,UEFA Europa League,Soccer,2019-10-24,2424875.0,0.009125831228413836
262g2s53t364qmgk1qtkzsqsl,japan,10163,V League 1 Women,Volleyball,2019-12-07,1754739.0,0.005791744527248782
am89bq7ba0yggfcf0tmmnh29w,dach,1455,Pat McAfee Show,OTHER,2019-10-02,2435056.0,0.0005975221925080984
4qn450p8x035p2b05v9d6o3my,dach,2643,MLB,Baseball,2019-10-06,2473574.0,0.0010684944133468415
f5jbe7y6zdpuobh9r36nqy7vu,japan,137145,Primera División,Soccer,2020-03-01,1688668.0,0.08121489836960255
8jamjf333kow22btsys0y5hil,dach,10088,IBU World Championship,Biathlon,2020-02-23,2702860.0,0.003732342777650341
7hb286m0t42391s8m232h438q,canada,1577,European Rugby Champions Cup,Rugby Union,2019-12-14,350353.0,0.004501174529688628
bxf14i154nvjq7j0obapol6y2,canada,48551,NFL,American Football,2019-10-27,312731.0,0.15524844035289115
etx27kc8rv0g7o58g55e5ry3u,japan,50329,J1 League,Soccer,2019-10-19,1867053.0,0.026956385276690056
8kdjoag9u782wzi3n7506m3qi,japan,33435,Premier League,Soccer,2020-07-22,1874667.0,0.017835167525752572
8n5hzm9yx140c5295mcdrux62,japan,57082,Premier League,Soccer,2020-07-26,1879941.0,0.030363718861389798
f53hfvz1et6os1v2tdp6w13ze,italy,15198,Serie B,Soccer,2019-11-03,1883019.0,0.008071081598220729
x1eq8awbxt9o8ls1cgc4y8a2,japan,18303,J3 League,Soccer,2020-07-11,1866091.0,0.009808203351283512
4i0uae1o6t6sg6xyep8atwk16,japan,22303,Serie A,Soccer,2020-07-26,1879941.0,0.011863670189649568
enh1b420oby5oohyutcj5d016,japan,8561,Primera División,Soccer,2019-12-01,1763270.0,0.00485518383458007
8tmr6746y57liadjczkqfkcbu,dach,115747,Coppa Italia,Soccer,2020-06-13,2176268.0,0.05318600466486664
490u537xc7ttv8k8gkub7pmqy,japan,10259,MLB,Baseball,2019-09-28,1882336.0,0.005450142801285212
b0r4gmfopx8ughgktfeow3fqi,japan,15762,FA Cup,Soccer,2020-01-04,1749089.0,0.009011548297427976
barwinvh28s17bhq871o0k8a,japan,3577,Primera División,Soccer,2020-07-02,1742410.0,0.00205290373677837
6iollbbl2nld2xy2zuplfeby1,dach,9846,Tianjin Open Women Single,Tennis,2019-10-13,2439466.0,0.004036129218443709
cyjxfbo5pv10xpeet61gp9vu2,japan,109537,J1 League,Soccer,2019-11-10,1806303.0,0.0606415424211774
7utaz1hz61a5robe6rjz6n3ai,japan,17809,J2 League,Soccer,2019-11-10,1806303.0,0.009859364680233604
7w5bwgnjvfg00ptnk98m1l7je,japan,11267,J2 League,Soccer,2019-11-10,1806303.0,0.006237602439900725
b3ad9tzl12jiksvesd9i56v0x,spain,6968,Premier League,Soccer,2020-01-11,473213.0,0.01472487019587374
